1113,2019-11-29 14:26:23.0000000,2020-12-01 14:29:21.0000000,Abu Dhabi GP,true,60,11
1114,2019-04-12 00:00:00.0000000,2019-04-14 00:00:00.0000000,Rally de Monte-Carlo,true,73,12
1115,2019-04-26 00:00:00.0000000,2019-04-28 00:00:00.0000000,Rally Sweden,true,74,12
1116,2020-12-21 17:20:30.0000000,2020-12-21 17:20:34.0000000,Rally Guanajuato Mexico,true,75,12
1117,2019-05-10 17:20:30.0000000,2019-05-12 17:20:30.0000000,Rallye de France,true,76,12
1118,2019-05-23 17:20:30.0000000,2019-05-26 17:20:34.0000000,Rally Argentina,true,77,12
1119,2019-06-07 17:20:30.0000000,2019-06-09 17:20:30.0000000,Rally de Portugal,true,78,12
1120,2019-06-21 17:20:30.0000000,2019-06-23 17:20:30.0000000,Rally Italia,true,79,12
1121,2019-06-28 17:20:30.0000000,2019-06-30 17:20:30.0000000,Rally Finland,true,80,12
1122,2019-07-12 17:20:30.0000000,2019-07-14 17:20:30.0000000,Rallye Deutschland,true,81,12
1123,2019-07-12 17:20:30.0000000,2019-07-14 17:20:30.0000000,Rally Turkey,true,82,12
1124,2019-08-02 17:20:30.0000000,2019-08-04 17:20:30.0000000,Rally Great Britain,true,83,12
1125,2019-08-30 17:20:30.0000000,2019-09-01 14:26:23.0000000,Rally de Espana,true,84,12
1126,2019-09-06 14:26:23.0000000,2019-09-08 14:26:23.0000000,Rally Australia,true,85,12
1127,2019-03-29 00:00:00.0000000,2019-03-31 00:00:00.0000000,Ad Diriyah ePrix,true,88,13
1128,2019-04-26 00:00:00.0000000,2019-04-28 00:00:00.0000000,Marrakesh ePrix,true,90,13
1129,2019-05-10 17:20:30.0000000,2019-05-12 17:20:30.0000000,Santiago ePrix,true,89,13
1130,2019-05-23 17:20:30.0000000,2019-05-26 17:20:34.0000000,Mexico City ePrix,true,57,13
1131,2019-06-21 17:20:30.0000000,2019-06-23 17:20:30.0000000,Hong Kong ePrix,true,92,13
1132,2019-06-28 17:20:30.0000000,2019-06-30 17:20:30.0000000,Sanya ePrix,true,93,13
1133,2019-07-12 17:20:30.0000000,2019-07-14 17:20:30.0000000,Rome ePrix,true,94,13
1134,2019-08-02 17:20:30.0000000,2019-08-04 17:20:30.0000000,Paris ePrix,true,95,13
1135,2019-08-30 17:20:30.0000000,2019-09-01 14:26:23.0000000,Monaco ePrix,true,45,13
1136,2019-09-06 14:26:23.0000000,2019-09-08 14:26:23.0000000,Berlin ePrix,true,91,13
1137,2019-09-27 14:26:23.0000000,2019-09-28 14:26:23.0000000,Swiss ePrix,true,96,13
1138,2019-11-29 14:26:23.0000000,2020-12-01 14:29:21.0000000,New York City ePrix,true,97,13
1139,2019-03-15 00:00:00.0000000,2021-03-17 00:00:00.0000000,Australia GP,false,2,14
1140,2019-03-29 00:00:00.0000000,2021-03-31 00:00:00.0000000,Bahrain GP,false,3,14
1141,2019-04-12 00:00:00.0000000,2021-04-14 00:00:00.0000000,China GP,false,4,14
1142,2019-04-26 00:00:00.0000000,2021-04-28 00:00:00.0000000,Azerbaijan,false,5,14
1143,2020-12-21 17:20:30.0000000,2021-12-21 17:20:34.0000000,China GP,false,3,14
